Scenario,Method,Group,Accuracy,Prec. Macro,Rec. Macro,F1 Macro,Prec. (HS),Rec. (HS),F1 (HS)
A1,BERT-Base,A — Baseline,0.9072081764389457,0.7619855958504779,0.7840647447030218,0.7725723335734953,0.4713656387665198,0.5,0.4852607709750567
A2,RoBERTa-Base,A — Baseline,0.900484131253362,0.7414232104931443,0.7966913624170733,0.7655997945798024,0.41155234657039713,0.5327102803738317,0.46435845213849286
A3,HateBERT,A — Baseline,0.9061323292092522,0.7509484434192052,0.7783300951459652,0.763639017725014,0.4541284403669725,0.46261682242990654,0.4583333333333333
??,Ensemble,B — Ensemble,,,,,,,
B1,Hard Voting,B — Ensemble,0.9120494889725659,0.763445449925948,0.7984078514627894,0.7798075595570455,0.46218487394957986,0.514018691588785,0.48672566371681414
B2,Soft Voting,B — Ensemble,0.9112426035502958,0.7631092823310226,0.8013617639388894,0.7808993362353135,0.4666666666666667,0.5233644859813084,0.4933920704845815
??,Ensemble,C — Few-Shot+Aug,,,,,,,
C1,BERT-Base+Aug,C — Few-Shot+Aug,0.8999462076385153,0.7453529175362156,0.7413952984280844,0.7433325650656829,0.4166666666666667,0.4205607476635514,0.4186046511627907
C2,RoBERTa-Base+Aug,C — Few-Shot+Aug,0.8851533082302313,0.7141561850937244,0.7567726099080353,0.7320284726002545,0.339041095890411,0.46261682242990654,0.391304347826087
C3,HateBERT+Aug,C — Few-Shot+Aug,0.9018289402904788,0.7430162848894204,0.737730180196265,0.7403381008613127,0.39436619718309857,0.3925233644859813,0.39344262295081966
C4,Hard Voting+Aug,C — Few-Shot+Ensemble,0.9055944055944056,0.7495625853464377,0.7569208527969753,0.7530989769638303,0.40789473684210525,0.43457943925233644,0.42081447963800905
C5,Soft Voting+Aug,C — Few-Shot+Ensemble,0.9107046799354491,0.7655342224971449,0.7290310044050861,0.7437907604380257,0.47096774193548385,0.3411214953271028,0.3956639566395664
